title,sentiment,avg_rating,movieId,review_count,preview_reviews
Bad Boys (1995),neg,3.2450980392156863,145,51,"This film is awful. Not offensive but extremely predictable. The movie follows the life of a small town family in the mid-60's. The father, the principal at the school, is going through a mid-life crisis. Enter a pretty teacher from the big city who starts challenging her students' minds with some t"
Bad Boys (1995),pos,3.2450980392156863,145,357,"Seven Pounds stars Will Smith as Ben Thomas, an IRS collection agent who has an ulterior motive for meeting those who have gotten behind on their tax payments. Thomas caused the deaths of seven people whilst driving talking on his phone and the movie follows his attempt to try and atone for his, qui"
Bad Company (2002),pos,2.875,5414,8,A sentimental story with a sentimental sound track. It's about a little girl ( with a voice impediment ) who treasures her green parrot Paulie. The parrot thinks and talks like a human being and gives help and advice to his constant companion.<br /><br />The parrot is definitely the star of the film
Bad Girls (1994),neg,2.5,416,16,"Before I give Spike Lee's mess of a film SUMMER OF SAM a well-deserved thrashing, I would like to make one thing clear. I do not revile this film simply for its abundance of sleazy and unpleasant images. What makes this film so unwatchable is the fact that Lee seems to believe that SUMMER OF SAM sho"
Bad Girls (1994),pos,2.5,416,8,"The Gang of Roses. ""Every rose has its thorns.""<br /><br />A mix of old western and hip hop, blended perfectly together. The clothing styles, the scenery, and the plot are all suited to what the director wanted. <br /><br />Plot - in five years, they robbed twenty-seven banks and then vanished witho"
Bad Taste (1987),pos,3.0,1255,6,"This is a bad movie in the traditional sense, but taken for what it is meant to be it is quite good. Very funny and well made, although there are a few death scenes that are in bad taste, what with jiggling breasts as a girl suffocates and so on. This is a bad movie in the traditional sense, but tak"
Barcelona (1994),neg,3.6923076923076925,417,78,This is one of the worst movies ever made. Trite. Predictable. Flat.<br /><br />The only thing that rated one point was there was a few nice scenes highlighting Barcelona. I imagine they would use films like this in Guantanamo or some other hidden CIA/NSA prison to torture suspects.<br /><br />Often
Barcelona (1994),pos,3.6923076923076925,417,26,"Diego Armando Maradona had been sixteen years of age in 1978 when Argentina won the World Cup at home. He was already the biggest star, and the greatest player in a country obsessed with football. Everybody had begged Cesar Luis Menotti to play the boy genius, but the manager thought that he was not"
Batman (1966),neg,3.0,26152,220,"Oh dear god. This was horrible. There is bad, then there was this. This movie makes no sense at all. It runs all over the map and isn't clear about what its saying at all. The music seemed like it was trying to be like Batman. The fact that 'Edison' isn't a real city, takes away. Since I live in Van"
Batman (1966),pos,3.0,26152,240,"This is so to say a sequel to batman the animated and it is pretty much as good as it to and for all the same reasons it has lots of action in it the storyline to it is good the voice over actors are really good such as Kevin Conroy as batman, Mark Hamil as the Joker, etc. The villains are really go"
Batman Forever (1995),neg,2.9160583941605838,153,411,"In short, this movie is completely worthless.<br /><br />The idea is to make movie from the point of view of what someone from the early 1900s might think of the future. An interesting idea, but the lack of compelling story or characters prevents us from ever suspending our disbelief, so the idea ju"
Batman Forever (1995),pos,2.9160583941605838,153,411,"Batman and Superman. Iconic. The better part of a century old. Who doesn't know of these two? There must be countless of fans who would die to make a film about them. Sandy Collora went ahead and put together a trailer for such a film(which does not exist, and is not being created, much less by this"
Beautiful Girls (1996),neg,3.95,94,50,"Sitting down to watch the 14th season of the Bachelor (""On the Wings of Love""), I knew I would be in for an ""interesting"" time. I had watched some of the previous seasons of the Bachelor in passing; watching an episode or two and missing the next three or so. I find that the Bachelor is often appeal"
Beautiful Girls (1996),pos,3.95,94,50,"Being a giant monster fan, me seeing ""Yeti"" was an absolute must, especially after hearing so much about it. Thanks to the good 'ol bootleg market I was able to find a copy pretty easily, and was happily surprised upon watching that this flick was actually, dare I say, decent.<br /><br />Decent for "
Beauty and the Beast (2017),neg,3.5,168366,4,"Another variation and improvisation on the famous and beloved children tale, La Bete (1975) aka The Beast tries to imagine (in very graphic and what may seem offensive and disturbing but in reality rather silly and comical way), what actually happened between Beauty and the Beast? I am amused by man"
Beauty and the Beast (2017),pos,3.5,168366,8,"Perhaps it's me and my perverted ways, or the fact that I tend to have a very sick mind, but I rented this film at random one very weird night and to my great surprise, I enjoyed it. <br /><br />Yes, I read the synopsis on the back of the DVD box and read that it had been banned for 25 years and fig"
Before Sunrise (1995),neg,4.041666666666667,215,24,"New York, I Love You, or rather should-be-titled Manhattan, I Love Looking At Your People In Sometimes Love, is a precise example of the difference between telling a story and telling a situation. Case in point, look at two of the segments in the film, one where Ethan Hawke lights a cigarette for a "
Before Sunrise (1995),pos,4.041666666666667,215,384,"I had never heard of this film before a couple of weeks ago, but its concept interested me when I heard it: an American man meets a European woman on his last night in Europe and they spend the night together talking. It sparked my interest, but I never expected it to be this great. Before Sunrise i"
Before and After (1996),neg,3.3333333333333335,113,21,"From the Q & A before and after, this is what I could gather: Some Irish guy wants to make a movie. Nothing in particular, just any movie. So, one night at a party, he hears some ex-roadie tell him a classic bit of rock n' roll lore; the one about how Gram Parsons' corpse was stolen from LAX by his "
Before and After (1996),pos,3.3333333333333335,113,36,"""CASOMAI"" was the last movie I've seen before getting married, just last year. <br /><br />It was also the first movie I've searched for, after I was married, because we promised to offer a copy to our priest.<br /><br />Sometimes, reality is not that apart from fiction. To all those who wrote that "
Being Human (1993),neg,3.0,418,2,"The fact that someone actually spent money on such a bad script, is beyond me. This really must be one of the worst films, in addition to ""Haunted Highway"" I have ever seen. BAD actors, and a really bad story. There's no normal reactions to any event in this film, and even though it's Halloween , no"
Being Human (1993),pos,3.0,418,8,This is certainly one of my all time fav episodes of Trek. There is just so much going on in this one film that its crazy cool. First the guys beam down to an alien planet thats about to explode. They meet a freaky librarian type dude (very well played). Then Kirk manages to get himself transported 
Billy Madison (1995),pos,3.326530612244898,216,49,I saw this at a screening last night too. I was totally blown away at how much better this movie was than what I expected. Not many movies can combine dark comedy and current event drama and not have it fall apart in the conclusion.<br /><br />I won't bother rehashing the plot too much because I thi
Bio-Dome (1996),neg,2.532258064516129,65,93,"You do realize that you've been watching the EXACT SAME SHOW for eight years, right? I could understand the initial curiosity of seeing strangers co-exist on an Island, but you'd think that after watching unkempt, stink-ladened heroes run roughshod through the bush with an egg on a spoon for half a "
Bitter Moon (1992),pos,3.5,347,6,"it's hard to tell you more about this film without spoiling it. I enjoyed it because I wasn't expecting what I was seeing, but an ordinary sex-drama so.... It's a pscyho-sexual thriller, in which nothing is what it seems. It features Emmanuelle Seigner, no stranger to the genre (and to nudity) in wh"
Black Sheep (2006),neg,2.3333333333333335,55553,3,"I just saw this film tonight and I have to say that it's a mess. I love Vince Vaughn but he ends up more annoying that funny here and the film is more than less a remake of the crappy 80's classic "" Santa Claus the movie"" but with out the camp or the bad Sheena Easton song at the end. .The story is "
Black Sheep (2006),pos,2.3333333333333335,55553,15,"Evening is the beautiful story of the flawed love of a mother. The movie split in time, is magically shot, amazingly acted and has a touching script. Vanessa Redgrave plays Anne Grant Lord, a woman sun-setting out of life. Lying in her bed, her mind remembering and misfiring, she recalls her first m"
Blade Runner (1982),neg,4.100806451612903,541,992,"I picked this movie up to replace the dismal choice of daytime television and to go with my thirst for femme fatales. Well, for the previous, it is better than daytime television....though I'm not sure how much.<br /><br />It does have its points but after about the first 20-30 minutes, the good poi"
Blade Runner (1982),pos,4.100806451612903,541,2108,"Blade Runner (Deckard is a Replicant!), <br /><br />City of Lost Children (augmented senses or whatever used and abused and mostly, well, just giving us far less than what we might dream of), and<br /><br />Dark City: <br /><br />These really ought to be added.<br /><br />For a while now, I've been "
Blink (1994),neg,3.2,422,95,"There's nothing new here. All the standard romantic-comedy scenes, even down to the taxi sprinting to the airport to stop the woman flying away. The only thing that saves this is the acting of Alison Eastwood & some of the minor characters (blink and you'll miss Gabrielle Anwar), who obviously had s"
Blink (1994),pos,3.2,422,70,"Moe and Larry are newly henpecked husbands, having married Shemp's demanding sisters. At his music studio, Shemp learns he will inherit a fortune if he marries someone himself! <br /><br />""Husbands Beware"" is a remake of 1947's ""Brideless Groom,"" widely considered by many to be one of the best Stoo"
Blown Away (1994),neg,2.85,423,80,"good lord! (and that coming from an atheist), this ""movie"" is bad !<br /><br />much has already been said by the reviewers before (the ones who rated this piece 3 and below) to which I fully agree, I just like to add a few things: <br /><br />among the three guys who had to eat their own digestive e"
Blown Away (1994),pos,2.85,423,300,"This movie is well done on so many levels that I am in awe that the score is as low as it is (5.9/10(576 votes) as of this writing). This movie has incredible special effects, a true epic storyline, complex great character interaction, and mind-blowing battles - they have to be seen to be believed! "
Blue Sky (1994),neg,3.75,425,4,"I really wanted to like this film, but so much of it is stolen/borrowed from other work -- some of the borrowing is painfully blatant. The New York Times' review pointed out that their singing frog is awfully reminiscent of the one in the famous Warner Brothers' cartoon ('Hello my baby, hello my dar"
Blue Sky (1994),pos,3.75,425,6,"This is my first CG animated film that I've ever seen. Usually, the look of other animated films made me reticent to see them. Not Ice Age. I wanted to see it the moment I saw the trailer with Scrat, the hilarious sabertooth squirrel.<br /><br />Ice Age was sporadically funny and overall fun film to"
Body Snatchers (1993),neg,3.142857142857143,426,49,"What do you expect when there is no script to begin with, and therefore nothing that the director can work with. Hayek and Farrell, and Donaldson and Kirkin are good actors, they just don't have anything to say or anything to react to. Even the earthquake was pretty poor. And I don't know how closel"
Body Snatchers (1993),pos,3.142857142857143,426,7,"Spoilers - in as far as I describe characters and their relation to the plot.<br /><br />This is a quality film. The subject matter is at once grim and gripping. The dogged determination of Stephen Rea's character, Burakov, is simply captivating. With any due apologies to him, his hangdog, continual"
Bogus (1996),neg,2.5,885,2,"I've seen many horror shows over the years, like Nightstalker, that dealt with the Wendigo legend, so I was looking forward to an angry spirit causing mayhem to add flavor to the Halloween season. Man was I mistaken. The whole movie creates this sense of events about to happen that will be scary and"
Boomerang (1992),neg,2.65625,122,96,"This movie got off to an interesting start. Down the road however, the story gets convoluted with a poor illustration of ancient black magic rituals. The male lead was very good , even though he gets the worst end of the stick in the climax. In comparison, this is ""Boomerang"" meets ""Extremities"". Th"
Boomerang (1992),pos,2.65625,122,32,After having seen a lot of Greek movies I feel very suspicious against most of them. But after watching this I felt astonished. The movies is great without a big try. You cannot claim that the screenplay is so great or the photography is perfect or something technical. It's a real story and it is ha
Bottle Rocket (1996),neg,3.782608695652174,101,69,"I don't even know where to begin on this one. ""It's all about the family."" That has to be the worst line of dialogue ever heard in a ""horror"" movie, although this couldn't be a horror movie even if it tried!!! Ugh!!! And I know that Owen Wilson is a better actor. He needs to stop playing the token g"
Bottle Rocket (1996),pos,3.782608695652174,101,23,"I caught a bit of this concert on public television and knew I had to have it. The boys give everyone at the Royal Albert an excellent, often thrilling performance complete in every way. Pure, too - no synth, no smoke-shrouded lasers and strobes, no grandiose entrance (and an unstoned, serious, and "
Bound (1996),neg,4.0,866,23,"The following are some of the most blaring problems with this movie: 1) Clichés abound. Seriously, awful ""twists"" are everywhere.<br /><br />2) The narrative jumps around in time, which would be fine if done well, but it's not.<br /><br />3) Lame characters that don't develop so much as either remai"
Bound (1996),pos,4.0,866,69,"jim carrey rocks! if he's in a movie its bound to be good! he did not disappoint me with this one!the rest of the cast was cute,especially little cindy lou who and martha may, i was laughing through the whole thing and cannot wait to see it again! jim carrey rocks! if he's in a movie its bound to be"
Boxing Helena (1993),neg,2.5416666666666665,427,12,The Brain (or head) that Wouldn't Die is one of the more thoughtful low budget exploitation films of the early 1960s. It is very difficult to imagine how a script this repulsively sexist could have been written without the intention of self-parody. And the themes that are expressed repeatedly by the
Boys (1996),neg,2.0,703,2,"Read on and take note - you could save 88 minutes of your life (was that all!).<br /><br />Unremittingly bleak, this film sets out to produce (I'm guessing) a modern small town American Christmas fable in the Capra style. If fails....completely and absolutely fails. I've been trying to think of one "
Boys (1996),pos,2.0,703,10,"The plot of the story and the performance of the lead actors are very much down-to-earth! The romance between two teen-age boys on the screen was done in good taste. You can easily relate to their emotions if you are one but if you are not one, you can appreciate the kind of love the film is trying "
Braveheart (1995),neg,4.031645569620253,110,948,"It was Jon Pertwee who said "" It`s very difficult to be funny but very easy to be silly "" . Well if that`s the case PASTY FACES is "" Very easy "" . David Baker ( As Director /Screenwriter ) and his cast seem to be under the impression that comedy involves stealing scenes and style from superior Britc"
Braveheart (1995),pos,4.031645569620253,110,5451,"Michael Caton-Jones's Scottish period piece bears little connection to the Sir Walter Scott novel of the same name...<br /><br />The film opens in the Scottish highlands, with Robert Roy McGregor and his men hunting down a bunch of cow thieves who have stolen several heads of His Lordship James Grah"
Brazil (1985),pos,4.177966101694915,1199,59,"Here in Brazil is very rare to see a good Brazilian film, and Brant´s new film is exactly one of these jewel. There are some flaws in the film, of course, but they are very minimal. The directing and acting in this film are very good!<br /><br />Can´t wait to see another Brant´s new film! Here in Br"
Broken Arrow (1950),neg,3.0,54121,1,"Demer Daves,is a wonderful director when it comes to westerns and ""broken arrow"" remains in everybody's mind.As far as melodrama is concerned,he should leave that to knowing people like Vincente Minelli,George Cukor or the fabulous Douglas Sirk. The screenplay is so predictable that you will not be "
Broken Arrow (1950),pos,3.0,54121,2,"Winchester '73 was the film that moved Mann from the b-movies to the big league, rescuing James Stewart's floundering post-war career in the process by casting him as a conflicted hero (although since he inherited the project from Fritz Lang, maybe Lang deserves the credit for that). Both men would "
Cabin Boy (1994),neg,2.0,429,6,"There is a scene near the beginning after a shootout where horses are running. If something red catches your eye it is because a white van is parked behind a bush by the trail. I thought I had seen bad but this is it. A white van in a western. Did they not catch this? Oh well, and I paid top dollar "
Calendar Girl (1993),pos,3.75,430,2,"The line, of course, is from the Lord's Prayer - ""Thy Will be done on Earth as it is in Heaven"". Sweden, especially its far north, is not my idea of heaven -30 degree C winter temperatures are a little on the low side for me, but the good folk who live there no doubt think they are in God's own coun"
Canadian Bacon (1995),neg,2.8636363636363638,157,11,"First things first: I'm not a conservative. And even though I would never refer to myself as a liberal or a Democrat, I was opposed to the war in Iraq from day one. I think it's safe to say John Cusack and I would probably see eye-to-eye on politics, in fact, I'm sure we'd become drinking buddies if"
Carlito's Way (1993),neg,3.738095238095238,431,378,This movie had potential and I was willing to give it a try but there are so many timeline problems that are so obvious - it's hard to swallow being treated like such an idiot.<br /><br />Rise to Power is set in the late sixties. Carlito's Way is set in the mid to late seventies. For this movie to b
Carlito's Way (1993),pos,3.738095238095238,431,126,"Unfortunately for myself - I stumbled onto this show late in it's lifetime. I only caught a few episodes (about three) before it was cancelled by ABC. I loved the characters, and storyline - but most of all the GREAT actors! I was a fan of Sex and the City, so I saw two characters I recognized (Brid"
Casino (1995),neg,3.926829268292683,16,1968,"Casting bone to pick: David Jannsen was 38 playing the father of Robert Drivas, who was then, 31 (yeah, I realize he's supposed to be just out of college, but clues in the script have him being a loafer and so he's probably 24-25 in the script--- that still puts Jannsen in parenting classes in Junio"
Casino (1995),pos,3.926829268292683,16,2132,"As part of the celebration of the release of Casino Royale, this film with the new Bond starring in it was shown, from director Roger Michell (Notting Hill). I almost turned it off for being a bit boring, but I'm glad I stuck with it. Basically May (Anne Reid) is a single mother of Helen (Anna Wilso"
Casper (1995),neg,2.806451612903226,158,930,"What a piece of junk this movie was. The premise was okay, but even in the beginning with crappy effects to blend in a giant with normal sized people (even the effects in Hercules was better) I knew this would be bad. But the really awful part of the movie is the dialogs. It's completely incoherent,"
Casper (1995),pos,2.806451612903226,158,496,"In all honesty, if someone told me the director of Lemony Snicket's Series of Unfortunate Events, City of Angels, and Caspers was going to do a neat little low budget indie film and that'd it be real good, I'd say that person must be joking. But that's what director Brad Siberling did. And it was re"
Castle Freak (1995),neg,3.0,220,1,"I was p***ed when I couldn't see this one when it was screening at the Philly Film Fest last year, so when I saw that it was going to be on cable tonight, I put it on remind as soon as I could. So was it worth the wait? Well let's backtrack a tad as I have yet to give you the plot. Sean Crawley is a"
Catwalk (1996),neg,4.0,108,2,"Poor Will would be rolling over in his grave if he could this this horiible German-TV adaptaion of his classic play. It's obvious that very little money was spent on it. A stage riser, a catwalk and some randomly placed columns pass off as a set. The movie was ineptly dubbed into English, with the E"
Catwalk (1996),pos,4.0,108,4,"With lots of sunshine, gauzy light and shadow filtering through windows and into rooms, tracking shots moving through crowds with hand-held camera, quick-paced editing and extreme close-ups here and there, the photography is the thing in this interesting, artistically done film.<br /><br />The plot "
Chasers (1994),neg,1.5,564,4,"This is a truly wretched little film. Admittedly the original (un)holy trinity was governed by the law of diminishing returns with the third, ""The Final Conflict"" degenerating into a ridiculous sub-plot about half-way through the film apparently merely to provide the requisite needlessly convoluted "
Cinderella (2015),neg,4.0,130073,3,"Bizarre take on the Cinderella tale. Terribly poor script, but Kathleen Turner turns in a pretty decent evil step-mother performance.<br /><br />Visually stunning in some parts, but that's about it. The period costumes range from the Elizabethan era to the 1990s. Fast forward until you see something"
Cinderella (2015),pos,4.0,130073,1,"I've seen this movie twice with my teenagers who love it. This one ought to be a cult fave! The best line, ""Your dress is deeply cool!"" says the Prince to Cinderella. Kathleen Turner shines as the stepmother. I also like the 1950's era cars and motorcycles. The melancholy prince is a great departure"
Circle of Friends (1995),neg,3.75,222,32,"*SPOILERS INCLUDED*<br /><br />With a title like ""Bleed"", you know the creative juices weren't running on high when this puppy was conceived. The movie is your basic run-of-the-mill low-budget slasher movie. Oh sure, it tries to be creative with the premise of the ""murder club"", but we learn that wa"
Circle of Friends (1995),pos,3.75,222,64,"First saw this movie in about 1990, and absolutely died laughing through it. It became a cult favorite with my circle of friends, and we'd quote from it at the drop of a hat (""I'm going home in a bag!""). Needless to say, the humor is still there, 15 years later. It's become a tradition at Halloween "
Citizen Kane (1941),pos,4.043478260869565,923,69,"In a lot of his films (Citizen Kane, Confidential Report, Touch of evil) Orson Welles gave him the role of an exuberant men. In ""The Lady from Shanghai"" it's the only time I see him holding the role of the victim. The role of the culprit, he gave it to Rita Hayworth, I guess it's because he was in l"
City Hall (1996),neg,2.7857142857142856,100,42,"Admittedly, I find Al Pacino to be a guilty pleasure. He was a fine actor until Scent of a Woman, where he apparently overdosed on himself irreparably. I hoped this film, of which I'd heard almost nothing growing up, would be a nice little gem. An overlooked, ahead-of-its-time, intelligent and engag"
City Hall (1996),pos,2.7857142857142856,100,154,"City Hall takes on the politics of a city rather than country, state or any sort of major political table. Granted it shines on New York City which is a huge political arena, especially nowadays, but it still goes for a smaller scale and puts the microscope on a few key players in a city wide scanda"
Clean Slate (1994),neg,2.75,433,8,"From the start, you know how this movie will end. It's so full of clichés your typical NRA member will not even like this movie. I give it 2 out of 10, only because of the acting of William Benton. I can't believe people voted 6+ for this movie. It's so biased towards a 'certain point of view' (once"
Clean Slate (1994),pos,2.75,433,8,"Having never seen the original Dirty Harry, I judged this movie on a clean slate. And I must say, I quite enjoyed it. Sure, some of the acting by Sondre Locke made me a little squeemish - but hey, it was the 80's. But even if you can't get past her (and I almost couldn't) or her revenge killings (wh"
Clerks (1994),neg,3.855769230769231,223,1040,"I got this movie because I worked at a movie store so I got free rentals. It came in, and the cover made it look alright. Hot chick, carrying a weapon, alright, I'll check it out.<br /><br />Oh man, bad move. This was so horrible, I spent half the movie watching in fast-forward to get to the nudity,"
Clerks (1994),pos,3.855769230769231,223,520,"Remarkable, disturbing film about the true-life, senseless, brutal murder of a small-town family, along with the aftermath, and examination of the lives of the killers, Dick Hickok and Perry Smith.<br /><br />No matter how much time goes by, or how dated this film may look, it still resonates the ut"
"Client, The (1994)",pos,3.3859649122807016,350,57,"On second viewing of this movie, I like it even more than the first time. It is full of nuances and a perception of life as being quite ordinary and often fearful but what lifts this movie to a height rarely realized is its focus on the little incidences in our lives to which we normally only offer "
Cliffhanger (1993),neg,3.0346534653465347,434,808,"***SPOILERS*** ***SPOILERS*** Continued...<br /><br />From here on in the whole movie collapses in on itself. First we meet a rogue program with the indication we're gonna get ghosts and vampires and werewolves and the like. We get a guy with a retarded accent talking endless garbage, two 'ghosts' t"
Cliffhanger (1993),pos,3.0346534653465347,434,1919,"but just as entertaining and random! Love it or hate it, but don't expect a sophisticated plot or nail-biting cliffhanger. Think of it like Seinfeld, but without the follow-through and repeat performances of wacky characters (well...so far; i have a feeling i will develop favourites as the season co"
Clueless (1995),neg,3.293269230769231,39,5304,"After just 15 minutes into this film, I began to miss Zhang Yimou's earlier, more weighty films that looked at the politics and society of China from unique perspectives. His turn to martial arts films was a serious misstep in my humble opinion. Hero was his worst film since Operation Cougar, with a"
Clueless (1995),pos,3.293269230769231,39,1664,"Running only seventy-two minutes, this small, overlooked 2006 dramedy is really just a two-character sketch piece but one that works very well within its limitations. Taking place almost entirely in various, non-descript spots in southern Los Angeles, the story itself is inconsequential, but like So"
Cobb (1994),neg,3.3333333333333335,354,126,"This was a disappointing film for me. It came to me via a boxed set entitled, ""Classic Film Noir,"" which was a gift from someone who knows I typically enjoy films done in that style (I insist that noir is a style, not a genre). I do not think it is a noir film at all. There seems to be a tendency th"
Cobb (1994),pos,3.3333333333333335,354,48,"This movie has always been a favorite of mine since first seeing it as a 12 year old kid in 1962 when it was shown on a Los Angeles television station's ""late show"". The characters are very engaging from the start of the picture, and it is too bad that the movie has never been released for video tap"
Color of Night (1994),pos,2.5714285714285716,436,7,"So, every year there is at least one movie, that hasn't got any chance of being a box office success, because from the moment of production, even before one simple shot is filmed, everybody's picking on this movie... There is a long list of these kind of movies, and in the end, some are really bad ("
Coneheads (1993),neg,2.4206349206349205,435,63,"Lorne Michaels once again proves that he has absolutely no business producing movies.<br /><br />You'd think that after such dismal flicks ""Superstar"", ""Night at the Roxbury"", and ""Coneheads"", he'd start to get the notion that maybe he doesn't know what he's doing when it comes to movies (and many w"
Congo (1995),neg,2.8771929824561404,160,171,"This should be my kind of movie. Even if it sucked, it still should have been right up my alley; hell, I like ""Congo,"" and ""Allan Quatermaine"" movies. I have a soft spot in my heart for silly alien/demon/adventure movies. Let's go over why I decided to watch this in the first place.<br /><br />1. Ho"
Congo (1995),pos,2.8771929824561404,160,171,"People forget that there have been several King Kong ripoffs- Congo, King Kong Vs. Godzilla, King Kong (1976), they all ripoff one another, but YETI stands on its own. It only borrows one element from King Kong and that is the animal's attraction with one female.<br /><br />The YETI myth is based on"
Copycat (1995),neg,3.2222222222222223,22,324,"I love all his work but this looks like nothing.. sorry.. This looks more like a ""David Lynch copycat"". I think people like it only because ""it's from David Lynch"". I love all his work but this looks like nothing.. sorry.. This looks more like a ""David Lynch copycat"". I think people like it only bec"
Copycat (1995),pos,3.2222222222222223,22,72,"I have only managed to see this classic for the first time a few weeks ago. Being made almost 30 years ago I thought the scary moments would be rather tame. Boy was I wrong. There are some great moments that sent shivers down my spine. Even the acting was great, Jamie Lee Curtis was fantastic and Do"
Crimson Tide (1995),neg,3.6359223300970873,161,412,"If asked how I would define the word "" Shallow "" I would reply "" Watch a Jerry Bruckheimer production "" . If asked how I would define the phrase "" Wasted potential "" I would reply "" Watch a Jerry Bruckheimer production "" . Bruckheimer productions are nearly always sure fire hits at the box office bu"
Crimson Tide (1995),pos,3.6359223300970873,161,412,"I'm totally surprised by some of the comments on this forum, and many of the reviews. I think Tony Scott made a good movie here. Yes, it is highly stylized, flashy and over the top, but it is very entertaining. I'm glad at least Ebert and Roeper agrees with me :) <br /><br />This movie may not be fo"
Crumb (1994),neg,4.205882352941177,162,221,"This 1919 to 1933 Germany looks hardly like a post WWII Czech capitol. Oh sorry, it is the Czech capitol and it is 2003, how funny.<br /><br />This is one of the most awful history movies in the nearest past. Röhm is a head higher than Adolf and looks so damned good, Göring looks like 40 when he jus"
